img_idx,source_file,gt_grade,gt_price,gt_payment,ext_grade,ext_price,ext_payment,ext_brand,ext_confidence,price_error,price_match,grade_matched,payment_match,status
111,111.png,Premium,4.079,Both,,,,,,,False,False,False,MISSED
112,112.png,Regular,3.389,Cash,,,,,,,False,False,False,MISSED
112,112.png,Mid-Grade,3.889,Cash,,,,,,,False,False,False,MISSED
112,112.png,Premium,4.389,Cash,,,,,,,False,False,False,MISSED
113,113.png,Regular,2.999,Cash,,,,,,,False,False,False,MISSED
113,113.png,Regular,3.099,Credit,,,,,,,False,False,False,MISSED
113,113.png,Diesel,3.699,Both,,,,,,,False,False,False,MISSED
113,113.png,Mid-Grade,3.699,Both,,,,,,,False,False,False,MISSED
113,113.png,Premium,4.199,Both,,,,,,,False,False,False,MISSED
114,114.png,Regular,3.379,Both,,,,,,,False,False,False,MISSED
115,115.png,Regular,3.299,Both,,,,,,,False,False,False,MISSED
115,115.png,Mid-Grade,3.599,Both,,,,,,,False,False,False,MISSED
115,115.png,Premium,3.999,Both,,,,,,,False,False,False,MISSED
116,116.png,Regular,3.439,Cash,,,,,,,False,False,False,MISSED
116,116.png,Mid-Grade,3.939,Cash,,,,,,,False,False,False,MISSED
116,116.png,Premium,4.439,Cash,,,,,,,False,False,False,MISSED
117,117.png,Regular,3.299,Cash,,,,,,,False,False,False,MISSED
117,117.png,Regular,3.449,Credit,,,,,,,False,False,False,MISSED
117,117.png,Diesel,3.749,Both,,,,,,,False,False,False,MISSED
117,117.png,Mid-Grade,3.949,Both,,,,,,,False,False,False,MISSED
117,117.png,Premium,4.249,Both,,,,,,,False,False,False,MISSED
118,118.png,Regular,2.999,Both,,,,,,,False,False,False,MISSED
118,118.png,Mid-Grade,3.199,Both,,,,,,,False,False,False,MISSED
118,118.png,Premium,3.399,Both,,,,,,,False,False,False,MISSED
119,119.png,Regular,2.699,Cash,,,,,,,False,False,False,MISSED
119,119.png,Premium,3.099,Cash,,,,,,,False,False,False,MISSED
120,120.png,Regular,2.899,Both,,,,,,,False,False,False,MISSED
120,120.png,Mid-Grade,3.19,Both,,,,,,,False,False,False,MISSED
120,120.png,Premium,3.399,Both,,,,,,,False,False,False,MISSED
121,121.png,Regular,2.899,Both,,,,,,,False,False,False,MISSED
121,121.png,Mid-Grade,3.199,Both,,,,,,,False,False,False,MISSED
121,121.png,Premium,3.399,Both,,,,,,,False,False,False,MISSED
121,121.png,Diesel,3.599,Both,,,,,,,False,False,False,MISSED
122,122.png,Regular,2.799,Cash,,,,,,,False,False,False,MISSED
122,122.png,Regular,2.899,Credit,,,,,,,False,False,False,MISSED
123,123.png,Regular,2.999,Both,,,,,,,False,False,False,MISSED
123,123.png,Mid-Grade,3.099,Both,,,,,,,False,False,False,MISSED
123,123.png,Premium,3.399,Both,,,,,,,False,False,False,MISSED
124,124.png,Regular,2.439,Cash,,,,,,,False,False,False,MISSED
124,124.png,Regular,2.519,Credit,,,,,,,False,False,False,MISSED
125,125.png,Regular,2.479,Both,,,,,,,False,False,False,MISSED
125,125.png,Diesel,2.859,Both,,,,,,,False,False,False,MISSED
126,126.png,Regular,2.799,Cash,,,,,,,False,False,False,MISSED
126,126.png,Regular,2.899,Credit,,,,,,,False,False,False,MISSED
127,127.png,Regular,2.439,Cash,,,,,,,False,False,False,MISSED
127,127.png,Regular,2.519,Credit,,,,,,,False,False,False,MISSED
128,128.png,Regular,3.339,Cash,,,,,,,False,False,False,MISSED
128,128.png,Regular,3.419,Credit,,,,,,,False,False,False,MISSED
129,129.png,Regular,2.439,Cash,,,,,,,False,False,False,MISSED
129,129.png,Regular,2.519,Credit,,,,,,,False,False,False,MISSED
129,129.png,Diesel,2.859,Credit,,,,,,,False,False,False,MISSED
130,130.png,Regular,2.35,Cash,,,,,,,False,False,False,MISSED
130,130.png,Diesel,2.699,Cash,,,,,,,False,False,False,MISSED
131,131.png,Regular,2.389,Cash,,,,,,,False,False,False,MISSED
131,131.png,Diesel,2.999,Cash,,,,,,,False,False,False,MISSED
132,132.png,Regular,3.359,Both,,,,,,,False,False,False,MISSED
132,132.png,Diesel,3.859,Both,,,,,,,False,False,False,MISSED
133,133.png,Regular,3.359,Both,,,,,,,False,False,False,MISSED
134,134.png,Regular,2.599,Both,,,,,,,False,False,False,MISSED
134,134.png,Diesel,3.299,Both,,,,,,,False,False,False,MISSED
135,135.png,Regular,3.359,Both,,,,,,,False,False,False,MISSED
136,136.png,Regular,3.359,Both,,,,,,,False,False,False,MISSED
136,136.png,Mid-Grade,3.459,Both,,,,,,,False,False,False,MISSED
136,136.png,Premium,3.609,Both,,,,,,,False,False,False,MISSED
136,136.png,Diesel,3.859,Both,,,,,,,False,False,False,MISSED
137,137.png,Regular,3.859,Cash,,,,,,,False,False,False,MISSED
137,137.png,Mid-Grade,3.959,Cash,,,,,,,False,False,False,MISSED
137,137.png,Regular,3.959,Credit,,,,,,,False,False,False,MISSED
137,137.png,Diesel,3.999,Cash,,,,,,,False,False,False,MISSED
137,137.png,Mid-Grade,4.059,Credit,,,,,,,False,False,False,MISSED
137,137.png,Premium,4.059,Cash,,,,,,,False,False,False,MISSED
137,137.png,Diesel,4.099,Credit,,,,,,,False,False,False,MISSED
137,137.png,Premium,4.159,Credit,,,,,,,False,False,False,MISSED
138,138.png,Diesel,3.959,Both,,,,,,,False,False,False,MISSED
139,139.png,Regular,3.899,Both,,,,,,,False,False,False,MISSED
139,139.png,Mid-Grade,4.099,Both,,,,,,,False,False,False,MISSED
139,139.png,Premium,4.199,Both,,,,,,,False,False,False,MISSED
140,140.png,Regular,3.45,Both,,,,,,,False,False,False,MISSED
140,140.png,Mid-Grade,3.65,Both,,,,,,,False,False,False,MISSED
140,140.png,Premium,3.759,Both,,,,,,,False,False,False,MISSED
140,140.png,Diesel,3.899,Both,,,,,,,False,False,False,MISSED
141,141.png,Regular,3.859,Cash,,,,,,,False,False,False,MISSED
141,141.png,Mid-Grade,3.959,Cash,,,,,,,False,False,False,MISSED
141,141.png,Regular,3.959,Credit,,,,,,,False,False,False,MISSED
141,141.png,Diesel,3.999,Cash,,,,,,,False,False,False,MISSED
141,141.png,Mid-Grade,4.059,Credit,,,,,,,False,False,False,MISSED
141,141.png,Premium,4.059,Cash,,,,,,,False,False,False,MISSED
141,141.png,Diesel,4.099,Credit,,,,,,,False,False,False,MISSED
141,141.png,Premium,4.159,Credit,,,,,,,False,False,False,MISSED
142,142.png,Regular,3.899,Both,,,,,,,False,False,False,MISSED
142,142.png,Mid-Grade,4.099,Both,,,,,,,False,False,False,MISSED
142,142.png,Premium,4.199,Both,,,,,,,False,False,False,MISSED
143,143.png,Regular,1.959,Both,,,,,,,False,False,False,MISSED
143,143.png,Diesel,2.659,Both,,,,,,,False,False,False,MISSED
144,144.png,Regular,1.929,Both,,,,,,,False,False,False,MISSED
144,144.png,Diesel,2.999,Both,,,,,,,False,False,False,MISSED
145,145.png,Regular,1.999,Both,,,,,,,False,False,False,MISSED
145,145.png,Diesel,2.299,Both,,,,,,,False,False,False,MISSED
146,146.png,Regular,2.779,Both,,,,,,,False,False,False,MISSED
146,146.png,Mid-Grade,3.079,Both,,,,,,,False,False,False,MISSED
146,146.png,Premium,3.179,Both,,,,,,,False,False,False,MISSED
147,147.png,Diesel,3.299,Both,,,,,,,False,False,False,MISSED
148,148.png,Regular,2.939,Both,,,,,,,False,False,False,MISSED
148,148.png,Mid-Grade,3.159,Both,,,,,,,False,False,False,MISSED
148,148.png,Premium,3.359,Both,,,,,,,False,False,False,MISSED
148,148.png,Diesel,3.399,Both,,,,,,,False,False,False,MISSED
149,149.png,Regular,2.879,Both,,,,,,,False,False,False,MISSED
149,149.png,Premium,3.179,Both,,,,,,,False,False,False,MISSED
150,150.png,Regular,2.599,Both,,,,,,,False,False,False,MISSED
150,150.png,Mid-Grade,2.999,Both,,,,,,,False,False,False,MISSED
150,150.png,Premium,3.099,Both,,,,,,,False,False,False,MISSED
151,151.png,Regular,2.899,Both,,,,,,,False,False,False,MISSED
